Year,State,State_ID,Crime_type,Total
1998,TLAXCALA,29,Other Crimes,1875
1998,TLAXCALA,29,Kidnap,1
1998,TLAXCALA,29,Common Thief,2122
1998,TLAXCALA,29,Cattle Thief,0
1998,TLAXCALA,29,Highway Thief,0
1998,TLAXCALA,29,Banking Thief,4
1998,VERACRUZ,30,Household Crimes,11475
1998,VERACRUZ,30,Rape,892
1998,VERACRUZ,30,Homicides,1667
1998,VERACRUZ,30,Injuries,12886
1998,VERACRUZ,30,Other Crimes,17580
1998,VERACRUZ,30,Kidnap,6
1998,VERACRUZ,30,Common Thief,16568
1998,VERACRUZ,30,Cattle Thief,0
1998,VERACRUZ,30,Highway Thief,0
1998,VERACRUZ,30,Banking Thief,11
1998,YUCATAN,31,Household Crimes,8881
1998,YUCATAN,31,Rape,259
1998,YUCATAN,31,Homicides,100
1998,YUCATAN,31,Injuries,7856
1998,YUCATAN,31,Other Crimes,20089
1998,YUCATAN,31,Kidnap,0
1998,YUCATAN,31,Common Thief,8093
1998,YUCATAN,31,Cattle Thief,0
1998,YUCATAN,31,Highway Thief,0
1998,YUCATAN,31,Banking Thief,15
1998,ZACATECAS,32,Household Crimes,1920
1998,ZACATECAS,32,Rape,110
1998,ZACATECAS,32,Homicides,358
